,Date,Month,spring,summer,winter,Mean Pressure(hPa),pressure_sma_7,Absolute Daily Max(deg. C),Mean(deg. C),Absolute Daily min(deg. C),Mean Dew Point(deg. C),Mean Relative Humidity(%),humidity_sma_7,Mean Amount of Cloud(%),cloud_sma_7,Total Bright Sunshine(hours),sunshine_sma_7,Prevailling Wind Direction(degrees),PWD_missing,wind_direction,Mean Wind Speed(km/h),MWS_missing,Total Rainfall(mm),rainfall_sma_7,rain_tmr_mm,rain_tmr_class
0,2000-01-01,1,0,0,1,1017.1,1017.1,22.7,19.2,17.2,13.3,69,69.0,6,6.0,9.8,9.8,30.0,False,NNE,12.0,False,0.0,0.0,0.0,0
1,2000-01-02,1,0,0,1,1017.2,1017.1500000000001,23.6,20.4,17.8,13.1,64,66.5,2,4.0,9.3,9.55,10.0,False,NNE,9.0,False,0.0,0.0,0.0,0
2,2000-01-03,1,0,0,1,1016.8,1017.0333333333334,20.5,19.2,18.2,12.8,67,66.66666666666667,10,6.0,9.0,9.366666666666667,40.0,False,NNE,26.0,False,0.0,0.0,0.0,0
3,2000-01-04,1,0,0,1,1016.1,1016.8000000000001,20.5,18.9,17.5,14.0,74,68.5,60,19.5,3.9,8.0,40.0,False,NNE,25.0,False,0.0,0.0,0.0,0
4,2000-01-05,1,0,0,1,1013.9,1016.22,23.2,20.6,18.3,15.8,75,69.8,40,23.6,6.7,7.74,30.0,False,NNE,16.0,False,0.0,0.0,0.0,0
5,2000-01-06,1,0,0,1,1013.7,1015.8000000000001,23.4,21.2,19.2,18.5,85,72.33333333333333,48,27.666666666666668,7.2,7.650000000000001,20.0,False,NNE,7.0,False,0.0,0.0,0.0,0
6,2000-01-07,1,0,0,1,1016.8,1015.9428571428572,20.8,18.9,17.9,15.5,81,73.57142857142857,88,36.285714285714285,0.6,6.642857142857144,70.0,False,ENE,33.0,False,0.0,0.0,0.0,0
7,2000-01-08,1,0,0,1,1016.0,1015.7857142857143,20.2,18.5,16.8,14.3,77,74.71428571428571,46,42.0,8.3,6.428571428571431,60.0,True,ENE,27.0,True,0.0,0.0,0.0,0
8,2000-01-09,1,0,0,1,1015.0,1015.4714285714286,22.8,19.9,18.3,16.7,82,77.28571428571429,71,51.857142857142854,2.6,5.471428571428573,20.0,True,NNE,8.0,True,0.0,0.0,0.0,0
9,2000-01-10,1,0,0,1,1015.5,1015.2857142857143,22.1,20.1,18.7,16.7,81,79.28571428571429,78,61.57142857142857,5.9,5.02857142857143,50.0,True,ENE,25.0,True,0.0,0.0,0.0,0
10,2000-01-11,1,0,0,1,1015.1,1015.1428571428571,20.3,19.3,18.2,16.3,83,80.57142857142857,94,66.42857142857143,2.2,4.785714285714287,40.0,False,NNE,27.0,False,0.0,0.0,0.0,0
11,2000-01-12,1,0,0,1,1013.1,1015.0285714285716,24.0,21.6,19.9,19.1,86,82.14285714285714,59,69.14285714285714,3.9,4.385714285714288,20.0,False,NNE,11.0,False,0.0,0.0,0.0,0
12,2000-01-13,1,0,0,1,1013.0,1014.9285714285716,21.0,19.5,18.4,17.1,86,82.28571428571429,90,75.14285714285714,0.0,3.357142857142859,30.0,False,NNE,17.0,False,0.0,0.0,0.0,0
13,2000-01-14,1,0,0,1,1014.0,1014.5285714285716,18.8,18.2,17.8,15.4,84,82.71428571428571,92,75.71428571428571,0.0,3.271428571428573,60.0,False,ENE,37.0,False,0.0,0.0,0.0,0
14,2000-01-15,1,0,0,1,1014.4,1014.3000000000001,19.6,18.5,17.3,15.5,83,83.57142857142857,82,80.85714285714286,3.6,2.600000000000002,60.0,False,ENE,32.0,False,0.0,0.0,0.0,0
15,2000-01-16,1,0,0,1,1016.0,1014.4428571428572,21.1,19.2,17.8,16.4,84,83.85714285714286,74,81.28571428571429,4.7,2.9000000000000017,30.0,False,NNE,20.0,False,0.0,0.0,0.0,0
16,2000-01-17,1,0,0,1,1018.3,1014.8428571428573,19.2,17.2,14.9,12.5,74,82.85714285714286,89,82.85714285714286,0.1,2.0714285714285734,10.0,False,NNE,21.0,False,0.0,0.0,0.0,0
17,2000-01-18,1,0,0,1,1021.2,1015.7142857142857,15.2,13.3,11.9,7.4,68,80.71428571428571,95,83.0,0.0,1.7571428571428587,10.0,False,NNE,29.0,False,0.0,0.0,0.0,0
18,2000-01-19,1,0,0,1,1023.3,1017.1714285714286,15.2,12.7,9.9,4.6,58,76.71428571428571,54,82.28571428571429,6.7,2.157142857142859,10.0,False,NNE,26.0,False,0.0,0.0,0.0,0
19,2000-01-20,1,0,0,1,1024.6,1018.8285714285713,15.7,14.1,12.2,6.9,62,73.28571428571429,19,72.14285714285714,9.0,3.442857142857144,70.0,False,ENE,41.0,False,0.0,0.0,0.0,0
20,2000-01-21,1,0,0,1,1025.4,1020.4571428571427,16.9,15.2,13.4,9.7,70,71.28571428571429,85,71.14285714285714,1.9,3.7142857142857153,70.0,False,ENE,47.0,False,0.0,0.0,0.0,0
21,2000-01-22,1,0,0,1,1021.2,1021.4285714285713,19.3,17.9,16.4,12.8,72,69.71428571428571,89,72.14285714285714,0.1,3.2142857142857153,60.0,False,ENE,31.0,False,0.0,0.0,32.6,1
22,2000-01-23,1,0,0,1,1017.8,1021.6857142857142,19.6,18.6,17.2,17.6,95,71.28571428571429,100,75.85714285714286,0.0,2.542857142857144,40.0,False,NNE,24.0,False,32.6,4.6571428571428575,30.8,1
23,2000-01-24,1,0,0,1,1018.6,1021.7285714285714,18.6,18.3,17.7,17.6,96,74.42857142857143,100,77.42857142857143,0.0,2.5285714285714294,50.0,False,ENE,26.0,False,30.8,9.057142857142859,6.8,1
24,2000-01-25,1,0,0,1,1024.0,1022.1285714285714,17.8,12.9,10.5,10.2,84,76.71428571428571,100,78.14285714285714,0.0,2.5285714285714294,10.0,False,NNE,39.0,False,6.8,10.028571428571428,0.0,0
25,2000-01-26,1,0,0,1,1028.0,1022.8,11.9,9.8,8.2,4.3,69,78.28571428571429,73,80.85714285714286,2.4,1.914285714285715,10.0,False,NNE,38.0,False,0.0,10.028571428571428,0.0,0
26,2000-01-27,1,0,0,1,1028.3,1023.3285714285713,12.7,10.0,7.2,1.3,55,77.28571428571429,13,80.0,9.7,2.014285714285715,10.0,False,NNE,30.0,False,0.0,10.028571428571428,0.0,0
27,2000-01-28,1,0,0,1,1026.6,1023.5,15.4,12.3,9.7,4.7,60,75.85714285714286,55,75.71428571428571,6.3,2.6428571428571437,40.0,False,NNE,27.0,False,0.0,10.028571428571428,0.0,0
28,2000-01-29,1,0,0,1,1026.6,1024.2714285714287,18.1,15.1,12.9,8.5,65,74.85714285714286,40,68.71428571428571,7.6,3.7142857142857153,60.0,False,ENE,24.0,False,0.0,10.028571428571428,0.0,0
29,2000-01-30,1,0,0,1,1028.4,1025.7857142857144,17.3,14.4,11.5,5.1,54,69.0,40,60.142857142857146,9.2,5.028571428571429,10.0,False,NNE,31.0,False,0.0,5.371428571428572,0.1,0
30,2000-01-31,1,0,0,1,1028.4,1027.1857142857145,14.0,12.0,10.9,4.8,62,64.14285714285714,88,58.42857142857143,0.0,5.028571428571429,10.0,False,NNE,29.0,False,0.1,0.985714285714286,4.8,1
31,2000-02-01,2,0,0,1,1026.7,1027.571428571429,12.9,10.8,8.5,6.8,77,63.142857142857146,85,56.285714285714285,1.3,5.214285714285714,10.0,False,NNE,28.0,False,4.8,0.7000000000000004,1.6,1
32,2000-02-02,2,0,0,1,1023.9,1026.9857142857145,15.3,12.8,9.7,10.0,83,65.14285714285714,88,58.42857142857143,0.1,4.885714285714286,360.0,False,N,18.0,False,1.6,0.928571428571429,0.6,0
33,2000-02-03,2,0,0,1,1020.9,1025.9285714285716,18.7,15.7,13.3,12.8,83,69.14285714285714,88,69.14285714285714,1.3,3.685714285714286,20.0,False,NNE,18.0,False,0.6,1.0142857142857147,0.0,0
34,2000-02-04,2,0,0,1,1019.3,1024.8857142857144,18.3,16.2,15.0,13.5,84,72.57142857142857,86,73.57142857142857,2.9,3.1999999999999997,60.0,False,ENE,30.0,False,0.0,1.0142857142857147,0.0,0
35,2000-02-05,2,0,0,1,1018.3,1023.6999999999999,20.6,17.0,14.9,14.0,83,75.14285714285714,28,71.85714285714286,9.1,3.414285714285714,60.0,False,ENE,16.0,False,0.0,1.0142857142857147,0.0,0
36,2000-02-06,2,0,0,1,1016.7,1022.0285714285712,18.3,16.2,13.8,11.1,72,77.71428571428571,13,68.0,10.3,3.571428571428572,360.0,False,N,16.0,False,0.0,1.0142857142857147,0.0,0
